time,lat,lng,七级半径（公里）,十级半径（公里）,十二级半径（公里）
7月24日18点25分,124.1583333,27.74166667,300,100,40
7月24日18点30分,124.15,27.75,300,100,40
7月24日18点35分,124.1416667,27.75833333,300,100,40
7月24日18点40分,124.1333333,27.76666667,300,100,40
7月24日18点45分,124.125,27.775,300,100,40
7月24日18点50分,124.1166667,27.78333333,300,100,40
7月24日18点55分,124.1083333,27.79166667,300,100,40
7月24日19点0分,124.1,27.8,300,100,40
7月24日19点05分,124.1,27.80833333,300,100,40
7月24日19点10分,124.1,27.81666667,300,100,40
7月24日19点15分,124.1,27.825,300,100,40
7月24日19点20分,124.1,27.83333333,300,100,40
7月24日19点25分,124.1,27.84166667,300,100,40
7月24日19点30分,124.1,27.85,300,100,40
7月24日19点35分,124.1,27.85833333,300,100,40
7月24日19点40分,124.1,27.86666667,300,100,40
7月24日19点45分,124.1,27.875,300,100,40
7月24日19点50分,124.1,27.88333333,300,100,40
7月24日19点55分,124.1,27.89166667,300,100,40
7月24日20点0分,124.1,27.9,300,100,40
7月24日20点05分,124.0916667,27.90833333,300,100,40
7月24日20点10分,124.0833333,27.91666667,300,100,40
7月24日20点15分,124.075,27.925,300,100,40
7月24日20点20分,124.0666667,27.93333333,300,100,40
7月24日20点25分,124.0583333,27.94166667,300,100,40
7月24日20点30分,124.05,27.95,300,100,40
7月24日20点35分,124.0416667,27.95833333,300,100,40
7月24日20点40分,124.0333333,27.96666667,300,100,40
7月24日20点45分,124.025,27.975,300,100,40
7月24日20点50分,124.0166667,27.98333333,300,100,40
7月24日20点55分,124.0083333,27.99166667,300,100,40
7月24日21点0分,124,28,300,100,40
7月24日21点05分,123.9916667,28.00833333,300,100,40
7月24日21点10分,123.9833333,28.01666667,300,100,40
7月24日21点15分,123.975,28.025,300,100,40
7月24日21点20分,123.9666667,28.03333333,300,100,40
7月24日21点25分,123.9583333,28.04166667,300,100,40
7月24日21点30分,123.95,28.05,300,100,40
7月24日21点35分,123.9416667,28.05833333,300,100,40
7月24日21点40分,123.9333333,28.06666667,300,100,40
7月24日21点45分,123.925,28.075,300,100,40
7月24日21点50分,123.9166667,28.08333333,300,100,40
7月24日21点55分,123.9083333,28.09166667,300,100,40
7月24日22点0分,123.9,28.1,300,100,40
7月24日22点05分,123.8916667,28.10833333,300,100,40
7月24日22点10分,123.8833333,28.11666667,300,100,40
7月24日22点15分,123.875,28.125,300,100,40
7月24日22点20分,123.8666667,28.13333333,300,100,40
7月24日22点25分,123.8583333,28.14166667,300,100,40
7月24日22点30分,123.85,28.15,300,100,40
7月24日22点35分,123.8416667,28.15833333,300,100,40
7月24日22点40分,123.8333333,28.16666667,300,100,40
7月24日22点45分,123.825,28.175,300,100,40
7月24日22点50分,123.8166667,28.18333333,300,100,40
7月24日22点55分,123.8083333,28.19166667,300,100,40
7月24日23点0分,123.8,28.2,300,100,40
7月24日23点05分,123.8,28.20833333,300,100,40
7月24日23点10分,123.8,28.21666667,300,100,40
7月24日23点15分,123.8,28.225,300,100,40
7月24日23点20分,123.8,28.23333333,300,100,40
7月24日23点25分,123.8,28.24166667,300,100,40
7月24日23点30分,123.8,28.25,300,100,40
7月24日23点35分,123.8,28.25833333,300,100,40
7月24日23点40分,123.8,28.26666667,300,100,40
7月24日23点45分,123.8,28.275,300,100,40
7月24日23点50分,123.8,28.28333333,300,100,40
7月24日23点55分,123.8,28.29166667,300,100,40
7月25日0点0分,123.8,28.3,300,100,40
7月25日0点05分,123.7916667,28.30833333,300,100,40
7月25日0点10分,123.7833333,28.31666667,300,100,40
7月25日0点15分,123.775,28.325,300,100,40
7月25日0点20分,123.7666667,28.33333333,300,100,40
7月25日0点25分,123.7583333,28.34166667,300,100,40
7月25日0点30分,123.75,28.35,300,100,40
7月25日0点35分,123.7416667,28.35833333,300,100,40
7月25日0点40分,123.7333333,28.36666667,300,100,40
7月25日0点45分,123.725,28.375,300,100,40
7月25日0点50分,123.7166667,28.38333333,300,100,40
7月25日0点55分,123.7083333,28.39166667,300,100,40
7月25日1点0分,123.7,28.4,300,100,40
7月25日1点05分,123.6916667,28.40833333,300,100,40
7月25日1点10分,123.6833333,28.41666667,300,100,40
7月25日1点15分,123.675,28.425,300,100,40
7月25日1点20分,123.6666667,28.43333333,300,100,40
7月25日1点25分,123.6583333,28.44166667,300,100,40
7月25日1点30分,123.65,28.45,300,100,40
7月25日1点35分,123.6416667,28.45833333,300,100,40
7月25日1点40分,123.6333333,28.46666667,300,100,40
7月25日1点45分,123.625,28.475,300,100,40
7月25日1点50分,123.6166667,28.48333333,300,100,40
7月25日1点55分,123.6083333,28.49166667,300,100,40
7月25日2点0分,123.6,28.5,300,100,40
7月25日2点05分,123.6,28.51666667,300,100,40
7月25日2点10分,123.6,28.53333333,300,100,40
7月25日2点15分,123.6,28.55,300,100,40
7月25日2点20分,123.6,28.56666667,300,100,40
7月25日2点25分,123.6,28.58333333,300,100,40
7月25日2点30分,123.6,28.6,300,100,40
7月25日2点35分,123.6,28.61666667,300,100,40
7月25日2点40分,123.6,28.63333333,300,100,40
7月25日2点45分,123.6,28.65,300,100,40
7月25日2点50分,123.6,28.66666667,300,100,40
7月25日2点55分,123.6,28.68333333,300,100,40
7月25日3点0分,123.6,28.7,300,100,40
7月25日3点05分,123.5916667,28.725,300,100,40
7月25日3点10分,123.5833333,28.75,300,100,40
7月25日3点15分,123.575,28.775,300,100,40
7月25日3点20分,123.5666667,28.8,300,100,40
7月25日3点25分,123.5583333,28.825,300,100,40
7月25日3点30分,123.55,28.85,300,100,40
7月25日3点35分,123.5416667,28.875,300,100,40
7月25日3点40分,123.5333333,28.9,300,100,40
7月25日3点45分,123.525,28.925,300,100,40
7月25日3点50分,123.5166667,28.95,300,100,40
7月25日3点55分,123.5083333,28.975,300,100,40
7月25日4点0分,123.5,29,300,100,40
7月25日4点05分,123.4916667,29.025,300,100,40
7月25日4点10分,123.4833333,29.05,300,100,40
7月25日4点15分,123.475,29.075,300,100,40
7月25日4点20分,123.4666667,29.1,300,100,40
